0,0,180,100,4,78,2574,18,5.97826087,100,4,1
0,0,10,86.67,6,39,507,2,0,25,0,1
0,0,20,100,10,39,1157,7,0,50,1.56,1
15,1,50,100,4,65,2301,14,6.382978723,100,3.8,1
13,0,100,96.99333333,10,163,2761,14,0,100,4.08,0
0,0,150,90.79166667,2,78,2808,14,0,66.66666667,2.25,0
0,0,130,100,21,52,2028,8,12.12121212,100,3.38,0
0,0,20,92.31166667,8,104,2808,13,0,100,2.75,1
0,0,40,88.526,4,74,2171,11,0,100,3.18,0
11,0,70,85.305,6,78,1911,11,12.5,100,2.63,0
15,0,50,100,8,130,2925,21,21.15384615,100,4.08,0
12,0,30,94.82666667,9,156,2808,16,6.451612903,66.66666667,2.67,1
0,0,40,92.135,11,78,1794,10,0,57.14285714,2,0
15,0,10,68.42,6,26,1014,4,0,25,0,0
0,1,20,76.345,5,52,1014,4,37.5,100,2.5,0
12,0,50,86.93666667,6,48,1404,6,0,100,3.83,0
0,0,10,71.34333333,10,65,1404,12,0,50,1.5,1
0,0,40,100,4,117,2418,13,4.545454545,100,2.5,1
0,0,20,84.82333333,12,66,1414,10,0,100,2.33,0
11,0,30,97.09,7,117,2535,13,0,100,3.3,1
15,0,0,31.58,32,13,390,2,50,25,0,1
0,0,50,91.688,7,91,2301,15,12.76595745,100,3.9,0
0,0,50,92.72,11,66,1414,8,5.769230769,100,2.67,1
12,0,120,100,5,39,1404,6,4.032258065,100,3.5,1
12,1,150,100,7,106,2751,14,22.14765101,100,3.53,0
0,0,30,93.572,7,108,2421,12,0,100,2.31,0
0,1,120,94.94166667,9,118,3042,13,0,100,3.33,1
11,0,50,100,6,15,450,2,1.923076923,100,4,0
12,0,70,97.69166667,8,130,2925,15,7.575757576,100,3.58,0
15,0,60,96.3225,9,105,1804,8,1.666666667,57.14285714,2,1
0,0,80,100,2,26,1014,3,51.31578947,100,3.5,0
0,0,50,93.8,12,182,2925,18,0,100,1.92,0
0,1,30,100,5,13,507,2,0,100,4,0
0,0,210,100,5,156,3042,25,0,100,4.08,1
