9114,4,79,77,97.47,20,2,15,1,0
9171,4,104,104,100,30,2,15,0,1
9175,4,78,73,93.59,20,2,11,1,1
9174,4,78,78,100,50,1,12,1,1
9134,2,78,78,100,30,1,15,0,0
9171,4,110,105,95.45,20,2,15,1,0
9115,4,52,52,100,20,2,15,1,1
9115,4,104,104,100,20,1,10,1,1
9121,4,78,78,100,30,1,15,1,1
9142,3,104,56,53.85,20,1,11,1,0
9123,4,169,169,100,50,1,12,1,1
9114,4,110,110,100,20,2,11,1,0
9134,2,65,65,100,50,2,15,1,1
9115,4,79,79,100,20,2,10,0,1
9115,4,130,130,100,20,2,13,1,1
9115,4,143,143,100,30,1,15,1,1
9135,4,105,105,100,20,1,15,0,1
9180,4,91,91,100,20,1,15,0,0
9134,2,0,0,0,20,1,15,1,0
9134,2,65,63,96.92,20,1,15,1,0
9159,4,104,0,0,30,1,11,1,0
9134,4,91,91,100,50,2,15,0,0
9126,2,104,104,100,40,1,15,1,1
9115,4,117,63,53.85,40,1,11,1,0
9115,4,65,55,84.62,20,2,11,1,0
9115,4,71,72,101.41,10,2,10,1,1
9173,4,118,118,100,20,2,15,1,1
9159,4,79,79,100,20,2,15,1,0
9158,1,26,22,84.62,20,1,13,0,0
9125,4,104,104,100,40,1,12,1,0
9147,4,78,78,100,20,1,15,1,1
9155,4,52,52,100,20,2,11,0,0
9175,4,52,52,100,50,2,12,1,0
9175,4,117,117,100,40,2,13,1,0
9142,3,104,104,100,30,1,15,1,0
9126,1,78,0,0,30,1,15,1,0
9175,3,78,78,100,30,1,14,1,0
9155,4,78,78,100,30,2,15,1,0
9123,4,92,92,100,40,2,15,1,0
9174,4,110,110,100,40,2,12,1,0
9171,4,104,104,100,30,2,15,1,1
9155,4,117,105,89.74,30,2,12,1,0
9173,1,104,0,0,50,2,15,1,0
9115,4,149,148,99.33,20,2,11,1,0
9142,2,78,72,92.31,20,1,15,0,1
9180,1,66,40,60.61,20,1,15,1,0
9134,4,136,136,100,20,1,15,1,0
9115,4,157,157,100,30,1,11,1,0
9171,4,104,104,100,30,2,15,1,1
9171,3,65,65,100,40,2,15,0,1
9115,2,131,131,100,20,2,15,1,0
9115,4,78,31,39.74,30,1,13,1,0
9142,1,110,0,0,20,1,15,1,0
9134,4,104,96,92.31,40,1,11,1,1
9115,4,13,13,100,20,1,11,1,0
9135,3,78,78,100,20,1,15,0,1
9134,4,66,66,100,30,1,15,1,0
9126,4,110,110,100,20,1,11,1,1
9175,4,78,78,100,50,1,14,1,1
9137,4,91,91,100,20,1,13,1,1
9171,3,130,130,100,20,2,12,1,0
9142,4,118,118,100,20,2,15,1,1
9115,4,104,104,100,20,2,11,1,0
9180,4,78,78,100,30,1,11,1,0
9114,4,39,39,100,40,1,11,1,0
9139,4,104,104,100,40,2,11,1,1
9142,4,156,156,100,30,1,11,1,1
9123,4,78,75,96.15,40,1,12,1,0
9114,4,78,78,100,20,2,11,1,1
9134,3,105,104,99.05,20,2,15,1,0
9180,4,78,78,100,20,1,11,1,1
9175,4,78,78,100,60,1,14,1,1
9115,4,136,136,100,20,2,11,1,1
9171,4,104,104,100,30,2,12,1,0
9159,4,79,79,100,40,2,15,0,1
9180,4,52,51,98.08,30,2,11,1,0
9121,4,78,78,100,50,1,14,1,0
9114,4,92,92,100,40,1,12,1,0
9158,1,13,13,100,60,1,11,0,0
9134,4,65,0,0,30,1,11,1,1
9134,3,52,0,0,30,1,15,0,0
9114,4,118,104,88.14,20,2,11,1,1
9147,4,104,91,87.5,40,2,9,1,1
9175,4,78,78,100,20,2,12,1,1
9123,4,65,65,100,60,1,13,1,0
9180,4,66,66,100,20,2,11,1,0
9155,3,118,118,100,10,2,15,1,1
